assessment_id,psid,rf_reference,agency_code,product_code,payer_id,payer_account_id,payer_name_snapshot,payer_id_masked,external_ref,description,currency,assessed_amount_minor,surcharge_accrued_minor,discount_applied_minor,payable_amount_minor,allocated_amount_minor,balance_minor,issue_date,due_date,expiry_date,status,source,version,metadata,waterfall
AS-00067,31010900001168656,RF0431010900001168656,ETPB,ETPB-TOKEN-CAR,PY-I011,PA-VEH-011,Imran Shah Bukhari,CNIC ****10-2,TOKEN/2026-27/LEA-17-2370,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1575000,75000,0,1575000,1575000,0,2026-05-31,2026-06-30,,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-17-2370"", ""engine_cc"": 1600}",OLDEST_FIRST
AS-00068,31010900001239495,RF9431010900001239495,ETPB,ETPB-TOKEN-CAR,PY-I012,PA-VEH-012,Nadia Parveen,CNIC ****81-3,TOKEN/2026-27/LEA-18-2507,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1900000,150000,0,1900000,1900000,0,2026-05-31,2026-06-30,,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-18-2507"", ""engine_cc"": 1900}",OLDEST_FIRST
AS-00069,31010900001378322,RF3931010900001378322,ETPB,ETPB-TOKEN-CAR,PY-I013,PA-VEH-013,Kamran Akmal Dar,CNIC ****52-4,TOKEN/2026-27/LEA-19-2644,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1000000,0,0,1000000,1000000,0,2026-05-31,2026-06-30,,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-19-2644"", ""engine_cc"": 1000}",OLDEST_FIRST
AS-00070,31010900001469438,RF2131010900001469438,ETPB,ETPB-TOKEN-CAR,PY-I014,PA-VEH-014,Rabia Sultana,CNIC ****23-5,TOKEN/2026-27/LEA-20-2781,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1325000,75000,0,1325000,1325000,0,2026-05-31,2026-06-30,,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-20-2781"", ""engine_cc"": 1300}",OLDEST_FIRST
AS-00071,31010900001538690,RF8631010900001538690,ETPB,ETPB-TOKEN-CAR,PY-I015,PA-VEH-015,Farhan Javed Mughal,CNIC ****94-6,TOKEN/2026-27/LEA-21-2918,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1650000,150000,0,1650000,0,1650000,2026-05-31,2026-06-30,,OVERDUE,AGENCY_API,1,"{""vehicle_reg"": ""LEA-21-2918"", ""engine_cc"": 1600}",OLDEST_FIRST
AS-00072,41011300000190123,RF3741011300000190123,PSCA,PSCA-CHALLAN-MOV,PY-I001,,Muhammad Ahmed Khan,CNIC ****00-1,CHL-PSCA-2026-0779123,Traffic e-Challan - Moving Violation - 2026-07,PKR,500000,0,125000,375000,0,375000,2026-07-22,2026-08-06,2026-10-28,ISSUED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-17-1000"", ""violation"": ""Over-speeding 78/60 km/h"", ""location"": ""Canal Road / Jail Road"", ""camera_id"": ""PSCA-CAM-0412""}",PENALTY_FIRST
AS-00073,41011400000286611,RF4941011400000286611,PSCA,PSCA-CHALLAN-PARK,PY-I001,,Muhammad Ahmed Khan,CNIC ****00-1,CHL-PSCA-2026-0611488,Traffic e-Challan - Parking - 2026-06,PKR,300000,0,0,300000,0,300000,2026-06-20,2026-07-05,2026-09-28,OVERDUE,AGENCY_API,1,"{""vehicle_reg"": ""LEA-17-1000"", ""violation"": ""No-parking zone"", ""location"": ""Liberty Market""}",PENALTY_FIRST
AS-00074,41011300000396784,RF1841011300000396784,PSCA,PSCA-CHALLAN-MOV,PY-I002,,Fatima Zahra Siddiqui,CNIC ****71-2,CHL-PSCA-2026-0700000,Traffic e-Challan - Moving Violation - 2026-07,PKR,300000,0,0,300000,300000,0,2026-07-18,2026-08-01,2026-10-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-18-1137"", ""violation"": ""Signal violation""}",PENALTY_FIRST
AS-00075,41011400000415168,RF5841011400000415168,PSCA,PSCA-CHALLAN-PARK,PY-I003,,Ali Hassan Raza,CNIC ****42-3,CHL-PSCA-2026-0700137,Traffic e-Challan - Parking - 2026-07,PKR,350000,0,0,350000,350000,0,2026-07-17,2026-08-02,2026-10-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-19-1274"", ""violation"": ""Signal violation""}",PENALTY_FIRST
AS-00076,41011300000506179,RF0341011300000506179,PSCA,PSCA-CHALLAN-MOV,PY-I004,,Ayesha Bibi,CNIC ****13-4,CHL-PSCA-2026-0700274,Traffic e-Challan - Moving Violation - 2026-07,PKR,500000,0,0,500000,500000,0,2026-07-16,2026-08-03,2026-10-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-20-1411"", ""violation"": ""Signal violation""}",PENALTY_FIRST
AS-00077,41011400000685365,RF1241011400000685365,PSCA,PSCA-CHALLAN-PARK,PY-I005,,Usman Ghani Butt,CNIC ****84-5,CHL-PSCA-2026-0700411,Traffic e-Challan - Parking - 2026-07,PKR,750000,0,0,750000,750000,0,2026-07-15,2026-08-04,2026-10-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-21-1548"", ""violation"": ""Signal violation""}",PENALTY_FIRST
AS-00078,41011300000758728,RF8641011300000758728,PSCA,PSCA-CHALLAN-MOV,PY-I006,,Zainab Malik,CNIC ****55-6,CHL-PSCA-2026-0700548,Traffic e-Challan - Moving Violation - 2026-07,PKR,200000,0,0,200000,200000,0,2026-07-14,2026-08-05,2026-10-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-17-1685"", ""violation"": ""Signal violation""}",PENALTY_FIRST
AS-00079,41011400000884904,RF3341011400000884904,PSCA,PSCA-CHALLAN-PARK,PY-I007,,Bilal Ahmad Chaudhry,CNIC ****26-7,CHL-PSCA-2026-0700685,Traffic e-Challan - Parking - 2026-07,PKR,350000,0,0,350000,350000,0,2026-07-13,2026-08-06,2026-10-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-18-1822"", ""violation"": ""Signal violation""}",PENALTY_FIRST
AS-00080,41011300000955356,RF3741011300000955356,PSCA,PSCA-CHALLAN-MOV,PY-I008,,Sana Tariq,CNIC ****97-8,CHL-PSCA-2026-0700822,Traffic e-Challan - Moving Violation - 2026-07,PKR,600000,0,0,600000,600000,0,2026-07-12,2026-08-07,2026-10-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-19-1959"", ""violation"": ""Signal violation""}",PENALTY_FIRST
AS-00081,41011400001019517,RF7241011400001019517,PSCA,PSCA-CHALLAN-PARK,PY-I009,,Hamza Yousaf Sheikh,CNIC ****68-9,CHL-PSCA-2026-0700959,Traffic e-Challan - Parking - 2026-07,PKR,650000,0,0,650000,650000,0,2026-07-11,2026-08-08,2026-10-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-20-2096"", ""violation"": ""Signal violation""}",PENALTY_FIRST
AS-00082,41011300001105173,RF7241011300001105173,PSCA,PSCA-CHALLAN-MOV,PY-I010,,Maryam Nawaz Cheema,CNIC ****39-1,CHL-PSCA-2026-0701096,Traffic e-Challan - Moving Violation - 2026-07,PKR,200000,0,0,200000,200000,0,2026-07-10,2026-08-09,2026-10-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-21-2233"", ""violation"": ""Signal violation""}",PENALTY_FIRST
AS-00083,41011400001215669,RF7141011400001215669,PSCA,PSCA-CHALLAN-PARK,PY-I011,,Imran Shah Bukhari,CNIC ****10-2,CHL-PSCA-2026-0701233,Traffic e-Challan - Parking - 2026-07,PKR,450000,0,0,450000,450000,0,2026-07-09,2026-08-10,2026-10-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-17-2370"", ""violation"": ""Signal violation""}",PENALTY_FIRST
AS-00084,41011300001327382,RF7341011300001327382,PSCA,PSCA-CHALLAN-MOV,PY-I012,,Nadia Parveen,CNIC ****81-3,CHL-PSCA-2026-0701370,Traffic e-Challan - Moving Violation - 2026-07,PKR,500000,0,0,500000,500000,0,2026-07-08,2026-08-11,2026-10-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-18-2507"", ""violation"": ""Signal violation""}",PENALTY_FIRST
AS-00085,41011400001427546,RF6441011400001427546,PSCA,PSCA-CHALLAN-PARK,PY-I013,,Kamran Akmal Dar,CNIC ****52-4,CHL-PSCA-2026-0701507,Traffic e-Challan - Parking - 2026-07,PKR,650000,0,0,650000,650000,0,2026-07-07,2026-08-12,2026-10-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-19-2644"", ""violation"": ""Signal violation""}",PENALTY_FIRST
AS-00086,41011300001502164,RF0941011300001502164,PSCA,PSCA-CHALLAN-MOV,PY-I014,,Rabia Sultana,CNIC ****23-5,CHL-PSCA-2026-0701644,Traffic e-Challan - Moving Violation - 2026-07,PKR,300000,0,0,300000,300000,0,2026-07-06,2026-08-13,2026-10-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-20-2781"", ""violation"": ""Signal violation""}",PENALTY_FIRST
AS-00087,41011400001606295,RF7641011400001606295,PSCA,PSCA-CHALLAN-PARK,PY-I001,,Muhammad Ahmed Khan,CNIC ****00-1,CHL-PSCA-2026-0455901,Traffic e-Challan - Parking - 2026-01,PKR,150000,0,0,150000,150000,0,2026-01-11,2026-01-26,,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-17-1000"", ""violation"": ""No-parking zone"", ""location"": ""MM Alam Road""}",PENALTY_FIRST
AS-00088,41011300001764709,RF5441011300001764709,PSCA,PSCA-CHALLAN-MOV,PY-I003,,Ali Hassan Raza,CNIC ****42-3,CHL-PSCA-2026-0688201,Traffic e-Challan - Moving Violation - 2026-06,PKR,600000,0,0,600000,600000,0,2026-06-30,2026-07-14,2026-09-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-19-1274"", ""violation"": ""Red-light violation"", ""location"": ""Ferozepur Road / Kalma Chowk""}",PENALTY_FIRST
AS-00089,41011400001867008,RF1841011400001867008,PSCA,PSCA-CHALLAN-PARK,PY-I003,,Ali Hassan Raza,CNIC ****42-3,CHL-PSCA-2026-0701455,Traffic e-Challan - Parking - 2026-07,PKR,200000,0,0,200000,200000,0,2026-07-10,2026-07-24,2026-09-28,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-19-1274"", ""violation"": ""Obstructive parking"", ""location"": ""Gulberg Main Boulevard""}",PENALTY_FIRST
AS-00090,5101150000012,,WASA,WASA-WATER-DOM,PY-I001,PA-WAT-001,Muhammad Ahmed Khan,CNIC ****00-1,WASA/514000001/2026-05,Water & Sewerage Bill - Domestic - 2026-05,PKR,207000,30000,0,207000,207000,0,2026-05-01,2026-05-31,,SETTLED,AGENCY_API,1,"{""crn"": ""514000001"", ""billing_period"": ""2026-05""}",OLDEST_FIRST
AS-00091,5101150000020,,WASA,WASA-WATER-DOM,PY-I001,PA-WAT-001,Muhammad Ahmed Khan,CNIC ****00-1,WASA/514000001/2026-06,Water & Sewerage Bill - Domestic - 2026-06,PKR,192000,15000,0,192000,192000,0,2026-05-31,2026-06-30,,SETTLED,AGENCY_API,1,"{""crn"": ""514000001"", ""billing_period"": ""2026-06""}",OLDEST_FIRST
AS-00092,5101150000036,,WASA,WASA-WATER-DOM,PY-I001,PA-WAT-001,Muhammad Ahmed Khan,CNIC ****00-1,WASA/514000001/2026-07,Water & Sewerage Bill - Domestic - 2026-07,PKR,177000,0,0,177000,15700,161300,2026-06-30,2026-07-30,,PARTIALLY_PAID,AGENCY_API,1,"{""crn"": ""514000001"", ""billing_period"": ""2026-07""}",OLDEST_FIRST
AS-00093,5101150000048,,WASA,WASA-WATER-DOM,PY-I002,PA-WAT-002,Fatima Zahra Siddiqui,CNIC ****71-2,WASA/514007772/2026-05,Water & Sewerage Bill - Domestic - 2026-05,PKR,221000,30000,0,221000,221000,0,2026-05-01,2026-05-31,,SETTLED,AGENCY_API,1,"{""crn"": ""514007772"", ""billing_period"": ""2026-05""}",OLDEST_FIRST
AS-00094,5101150000057,,WASA,WASA-WATER-DOM,PY-I002,PA-WAT-002,Fatima Zahra Siddiqui,CNIC ****71-2,WASA/514007772/2026-06,Water & Sewerage Bill - Domestic - 2026-06,PKR,206000,15000,0,206000,206000,0,2026-05-31,2026-06-30,,SETTLED,AGENCY_API,1,"{""crn"": ""514007772"", ""billing_period"": ""2026-06""}",OLDEST_FIRST
AS-00095,5101150000061,,WASA,WASA-WATER-DOM,PY-I002,PA-WAT-002,Fatima Zahra Siddiqui,CNIC ****71-2,WASA/514007772/2026-07,Water & Sewerage Bill - Domestic - 2026-07,PKR,191000,0,0,191000,191000,0,2026-06-30,2026-07-30,,SETTLED,AGENCY_API,1,"{""crn"": ""514007772"", ""billing_period"": ""2026-07""}",OLDEST_FIRST
AS-00096,5101150000073,,WASA,WASA-WATER-DOM,PY-I003,PA-WAT-003,Ali Hassan Raza,CNIC ****42-3,WASA/514015545/2026-05,Water & Sewerage Bill - Domestic - 2026-05,PKR,235000,30000,0,235000,235000,0,2026-05-01,2026-05-31,,SETTLED,AGENCY_API,1,"{""crn"": ""514015545"", ""billing_period"": ""2026-05""}",OLDEST_FIRST
AS-00097,5101150000085,,WASA,WASA-WATER-DOM,PY-I003,PA-WAT-003,Ali Hassan Raza,CNIC ****42-3,WASA/514015545/2026-06,Water & Sewerage Bill - Domestic - 2026-06,PKR,220000,15000,0,220000,220000,0,2026-05-31,2026-06-30,,SETTLED,AGENCY_API,1,"{""crn"": ""514015545"", ""billing_period"": ""2026-06""}",OLDEST_FIRST
AS-00098,5101150000099,,WASA,WASA-WATER-DOM,PY-I003,PA-WAT-003,Ali Hassan Raza,CNIC ****42-3,WASA/514015545/2026-07,Water & Sewerage Bill - Domestic - 2026-07,PKR,205000,0,0,205000,205000,0,2026-06-30,2026-07-30,,SETTLED,AGENCY_API,1,"{""crn"": ""514015545"", ""billing_period"": ""2026-07""}",OLDEST_FIRST
AS-00099,5101150000103,,WASA,WASA-WATER-DOM,PY-I004,PA-WAT-004,Ayesha Bibi,CNIC ****13-4,WASA/514023315/2026-05,Water & Sewerage Bill - Domestic - 2026-05,PKR,249000,30000,0,249000,249000,0,2026-05-01,2026-05-31,,SETTLED,AGENCY_API,1,"{""crn"": ""514023315"", ""billing_period"": ""2026-05""}",OLDEST_FIRST
AS-00100,5101150000116,,WASA,WASA-WATER-DOM,PY-I004,PA-WAT-004,Ayesha Bibi,CNIC ****13-4,WASA/514023315/2026-06,Water & Sewerage Bill - Domestic - 2026-06,PKR,234000,15000,0,234000,234000,0,2026-05-31,2026-06-30,,SETTLED,AGENCY_API,1,"{""crn"": ""514023315"", ""billing_period"": ""2026-06""}",OLDEST_FIRST
AS-00101,5101150000127,,WASA,WASA-WATER-DOM,PY-I004,PA-WAT-004,Ayesha Bibi,CNIC ****13-4,WASA/514023315/2026-07,Water & Sewerage Bill - Domestic - 2026-07,PKR,219000,0,0,219000,219000,0,2026-06-30,2026-07-30,,SETTLED,AGENCY_API,1,"{""crn"": ""514023315"", ""billing_period"": ""2026-07""}",OLDEST_FIRST
AS-00102,5101150000134,,WASA,WASA-WATER-DOM,PY-I005,PA-WAT-005,Usman Ghani Butt,CNIC ****84-5,WASA/514031080/2026-05,Water & Sewerage Bill - Domestic - 2026-05,PKR,263000,30000,0,263000,263000,0,2026-05-01,2026-05-31,,SETTLED,AGENCY_API,1,"{""crn"": ""514031080"", ""billing_period"": ""2026-05""}",OLDEST_FIRST
AS-00103,5101150000142,,WASA,WASA-WATER-DOM,PY-I005,PA-WAT-005,Usman Ghani Butt,CNIC ****84-5,WASA/514031080/2026-06,Water & Sewerage Bill - Domestic - 2026-06,PKR,248000,15000,0,248000,0,248000,2026-05-31,2026-06-30,,OVERDUE,AGENCY_API,1,"{""crn"": ""514031080"", ""billing_period"": ""2026-06""}",OLDEST_FIRST
AS-00104,5101150000150,,WASA,WASA-WATER-DOM,PY-I005,PA-WAT-005,Usman Ghani Butt,CNIC ****84-5,WASA/514031080/2026-07,Water & Sewerage Bill - Domestic - 2026-07,PKR,233000,0,0,233000,0,233000,2026-06-30,2026-07-30,,ISSUED,AGENCY_API,1,"{""crn"": ""514031080"", ""billing_period"": ""2026-07""}",OLDEST_FIRST
AS-00105,5101150000169,,WASA,WASA-WATER-DOM,PY-I006,PA-WAT-006,Zainab Malik,CNIC ****55-6,WASA/514038850/2026-05,Water & Sewerage Bill - Domestic - 2026-05,PKR,277000,30000,0,277000,0,277000,2026-05-01,2026-05-31,,OVERDUE,AGENCY_API,1,"{""crn"": ""514038850"", ""billing_period"": ""2026-05""}",OLDEST_FIRST
AS-00106,5101150000175,,WASA,WASA-WATER-DOM,PY-I006,PA-WAT-006,Zainab Malik,CNIC ****55-6,WASA/514038850/2026-06,Water & Sewerage Bill - Domestic - 2026-06,PKR,262000,15000,0,262000,0,262000,2026-05-31,2026-06-30,,OVERDUE,AGENCY_API,1,"{""crn"": ""514038850"", ""billing_period"": ""2026-06""}",OLDEST_FIRST
AS-00107,5101150000188,,WASA,WASA-WATER-DOM,PY-I006,PA-WAT-006,Zainab Malik,CNIC ****55-6,WASA/514038850/2026-07,Water & Sewerage Bill - Domestic - 2026-07,PKR,247000,0,0,247000,0,247000,2026-06-30,2026-07-30,,ISSUED,AGENCY_API,1,"{""crn"": ""514038850"", ""billing_period"": ""2026-07""}",OLDEST_FIRST
AS-00108,5101150000191,,WASA,WASA-WATER-DOM,PY-I007,PA-WAT-007,Bilal Ahmad Chaudhry,CNIC ****26-7,WASA/514046624/2026-05,Water & Sewerage Bill - Domestic - 2026-05,PKR,291000,30000,0,291000,0,291000,2026-05-01,2026-05-31,,OVERDUE,AGENCY_API,1,"{""crn"": ""514046624"", ""billing_period"": ""2026-05""}",OLDEST_FIRST
AS-00109,5101150000209,,WASA,WASA-WATER-DOM,PY-I007,PA-WAT-007,Bilal Ahmad Chaudhry,CNIC ****26-7,WASA/514046624/2026-06,Water & Sewerage Bill - Domestic - 2026-06,PKR,276000,15000,0,276000,0,276000,2026-05-31,2026-06-30,,OVERDUE,AGENCY_API,1,"{""crn"": ""514046624"", ""billing_period"": ""2026-06""}",OLDEST_FIRST
AS-00110,5101150000214,,WASA,WASA-WATER-DOM,PY-I007,PA-WAT-007,Bilal Ahmad Chaudhry,CNIC ****26-7,WASA/514046624/2026-07,Water & Sewerage Bill - Domestic - 2026-07,PKR,261000,0,0,261000,0,261000,2026-06-30,2026-07-30,,ISSUED,AGENCY_API,1,"{""crn"": ""514046624"", ""billing_period"": ""2026-07""}",OLDEST_FIRST
AS-00111,5101150000223,,WASA,WASA-WATER-DOM,PY-I008,PA-WAT-008,Sana Tariq,CNIC ****97-8,WASA/514054397/2026-07,Water & Sewerage Bill - Domestic - 2026-07,PKR,275000,0,0,275000,0,275000,2026-06-30,2026-07-30,,ISSUED,AGENCY_API,1,"{""crn"": ""514054397"", ""billing_period"": ""2026-07""}",OLDEST_FIRST
AS-00112,5101150000238,,WASA,WASA-WATER-DOM,PY-I009,PA-WAT-009,Hamza Yousaf Sheikh,CNIC ****68-9,WASA/514062166/2026-07,Water & Sewerage Bill - Domestic - 2026-07,PKR,289000,0,0,289000,0,289000,2026-06-30,2026-07-30,,ISSUED,AGENCY_API,1,"{""crn"": ""514062166"", ""billing_period"": ""2026-07""}",OLDEST_FIRST
AS-00113,5101150000246,,WASA,WASA-WATER-DOM,PY-I010,PA-WAT-010,Maryam Nawaz Cheema,CNIC ****39-1,WASA/514069930/2026-07,Water & Sewerage Bill - Domestic - 2026-07,PKR,303000,0,0,303000,0,303000,2026-06-30,2026-07-30,,ISSUED,AGENCY_API,1,"{""crn"": ""514069930"", ""billing_period"": ""2026-07""}",OLDEST_FIRST
AS-00114,5101150000251,,WASA,WASA-WATER-DOM,PY-I011,PA-WAT-011,Imran Shah Bukhari,CNIC ****10-2,WASA/514077700/2026-07,Water & Sewerage Bill - Domestic - 2026-07,PKR,317000,0,0,317000,0,317000,2026-06-30,2026-07-30,,ISSUED,AGENCY_API,1,"{""crn"": ""514077700"", ""billing_period"": ""2026-07""}",OLDEST_FIRST
AS-00115,5101150000267,,WASA,WASA-WATER-DOM,PY-I012,PA-WAT-012,Nadia Parveen,CNIC ****81-3,WASA/514085470/2026-07,Water & Sewerage Bill - Domestic - 2026-07,PKR,331000,0,0,331000,0,331000,2026-06-30,2026-07-30,,ISSUED,AGENCY_API,1,"{""crn"": ""514085470"", ""billing_period"": ""2026-07""}",OLDEST_FIRST
AS-00116,88000000000013,,NADRA,NADRA-CNIC-FEE,PY-I001,,Muhammad Ahmed Khan,CNIC ****00-1,PP-2026-8891200,CNIC Issuance / Renewal Fee - 2026-07,PKR,150000,0,0,150000,0,150000,2026-07-29,2026-08-05,2026-08-06,ISSUED,AGENCY_API,1,"{""application_no"": ""NAD-2026-8891200"", ""service"": ""CNIC Renewal""}",EXPLICIT_ONLY
AS-00117,88000000000021,,NADRA,NADRA-CNIC-FEE,PY-I002,,Fatima Zahra Siddiqui,CNIC ****71-2,PP-2026-8891201,CNIC Issuance / Renewal Fee - 2026-07,PKR,150000,0,0,150000,150000,0,2026-07-29,2026-08-05,2026-08-06,SETTLED,AGENCY_API,1,"{""application_no"": ""NAD-2026-8891201"", ""service"": ""CNIC Renewal""}",EXPLICIT_ONLY
AS-00118,88000000000039,,NADRA,NADRA-CNIC-FEE,PY-I003,,Ali Hassan Raza,CNIC ****42-3,PP-2026-8891202,CNIC Issuance / Renewal Fee - 2026-07,PKR,150000,0,0,150000,150000,0,2026-07-29,2026-08-05,2026-08-06,SETTLED,AGENCY_API,1,"{""application_no"": ""NAD-2026-8891202"", ""service"": ""CNIC Renewal""}",EXPLICIT_ONLY
AS-00119,88000000000047,,NADRA,NADRA-CNIC-FEE,PY-I004,,Ayesha Bibi,CNIC ****13-4,PP-2026-8891203,CNIC Issuance / Renewal Fee - 2026-07,PKR,150000,0,0,150000,150000,0,2026-07-29,2026-08-05,2026-08-06,SETTLED,AGENCY_API,1,"{""application_no"": ""NAD-2026-8891203"", ""service"": ""CNIC Renewal""}",EXPLICIT_ONLY
AS-00120,88000000000054,,NADRA,NADRA-CNIC-FEE,PY-I005,,Usman Ghani Butt,CNIC ****84-5,PP-2026-8891204,CNIC Issuance / Renewal Fee - 2026-07,PKR,150000,0,0,150000,150000,0,2026-07-29,2026-08-05,2026-08-06,SETTLED,AGENCY_API,1,"{""application_no"": ""NAD-2026-8891204"", ""service"": ""CNIC Renewal""}",EXPLICIT_ONLY
AS-00121,88000000000062,,NADRA,NADRA-CNIC-FEE,PY-I006,,Zainab Malik,CNIC ****55-6,PP-2026-8891205,CNIC Issuance / Renewal Fee - 2026-07,PKR,150000,0,0,150000,0,150000,2026-07-29,2026-08-05,2026-08-06,ISSUED,AGENCY_API,1,"{""application_no"": ""NAD-2026-8891205"", ""service"": ""CNIC Renewal""}",EXPLICIT_ONLY
AS-00122,88000000000070,,NADRA,NADRA-CNIC-FEE,PY-I007,,Bilal Ahmad Chaudhry,CNIC ****26-7,PP-2026-8891206,CNIC Issuance / Renewal Fee - 2026-07,PKR,150000,0,0,150000,150000,0,2026-07-29,2026-08-05,2026-08-06,SETTLED,AGENCY_API,1,"{""application_no"": ""NAD-2026-8891206"", ""service"": ""CNIC Renewal""}",EXPLICIT_ONLY
AS-00123,88000000000088,,NADRA,NADRA-CNIC-FEE,PY-I008,,Sana Tariq,CNIC ****97-8,PP-2026-8891207,CNIC Issuance / Renewal Fee - 2026-07,PKR,150000,0,0,150000,150000,0,2026-07-29,2026-08-05,2026-08-06,SETTLED,AGENCY_API,1,"{""application_no"": ""NAD-2026-8891207"", ""service"": ""CNIC Renewal""}",EXPLICIT_ONLY
AS-00124,88000000000096,,NADRA,NADRA-CNIC-FEE,PY-I009,,Hamza Yousaf Sheikh,CNIC ****68-9,PP-2026-8891208,CNIC Issuance / Renewal Fee - 2026-07,PKR,150000,0,0,150000,150000,0,2026-07-29,2026-08-05,2026-08-06,SETTLED,AGENCY_API,1,"{""application_no"": ""NAD-2026-8891208"", ""service"": ""CNIC Renewal""}",EXPLICIT_ONLY
AS-00125,88000000000104,,NADRA,NADRA-CNIC-FEE,PY-I010,,Maryam Nawaz Cheema,CNIC ****39-1,PP-2026-8891209,CNIC Issuance / Renewal Fee - 2026-07,PKR,150000,0,0,150000,150000,0,2026-07-29,2026-08-05,2026-08-06,SETTLED,AGENCY_API,1,"{""application_no"": ""NAD-2026-8891209"", ""service"": ""CNIC Renewal""}",EXPLICIT_ONLY
AS-00126,71011800000183627,RF7971011800000183627,BOR,BOR-STAMP-DUTY,PY-I011,,Imran Shah Bukhari,CNIC ****10-2,ESTAMP-PB-2026-445000,Stamp Duty - Property Instrument - 2026-07,PKR,15400000,0,0,15400000,15400000,0,2026-07-29,2026-08-03,2026-08-29,SETTLED,AGENCY_API,1,"{""instrument_no"": ""INS-2026-445000"", ""property"": ""Plot 50, DHA Phase 5, Lahore""}",EXPLICIT_ONLY
AS-00127,71011800000214127,RF1271011800000214127,BOR,BOR-STAMP-DUTY,PY-I012,,Nadia Parveen,CNIC ****81-3,ESTAMP-PB-2026-445001,Stamp Duty - Property Instrument - 2026-07,PKR,18480000,0,0,18480000,18480000,0,2026-07-29,2026-08-03,2026-08-29,SETTLED,AGENCY_API,1,"{""instrument_no"": ""INS-2026-445001"", ""property"": ""Plot 51, DHA Phase 5, Lahore""}",EXPLICIT_ONLY
AS-00128,71011800000315665,RF9471011800000315665,BOR,BOR-STAMP-DUTY,PY-I013,,Kamran Akmal Dar,CNIC ****52-4,ESTAMP-PB-2026-445002,Stamp Duty - Property Instrument - 2026-07,PKR,21560000,0,0,21560000,21560000,0,2026-07-29,2026-08-03,2026-08-29,SETTLED,AGENCY_API,1,"{""instrument_no"": ""INS-2026-445002"", ""property"": ""Plot 52, DHA Phase 5, Lahore""}",EXPLICIT_ONLY
AS-00129,71011800000407636,RF7771011800000407636,BOR,BOR-STAMP-DUTY,PY-I014,,Rabia Sultana,CNIC ****23-5,ESTAMP-PB-2026-445003,Stamp Duty - Property Instrument - 2026-07,PKR,24640000,0,0,24640000,24640000,0,2026-07-29,2026-08-03,2026-08-29,SETTLED,AGENCY_API,1,"{""instrument_no"": ""INS-2026-445003"", ""property"": ""Plot 53, DHA Phase 5, Lahore""}",EXPLICIT_ONLY
AS-00130,71011800000560110,RF5671011800000560110,BOR,BOR-STAMP-DUTY,PY-I015,,Farhan Javed Mughal,CNIC ****94-6,ESTAMP-PB-2026-445004,Stamp Duty - Property Instrument - 2026-07,PKR,27720000,0,0,27720000,0,27720000,2026-07-29,2026-08-03,2026-08-29,ISSUED,AGENCY_API,1,"{""instrument_no"": ""INS-2026-445004"", ""property"": ""Plot 54, DHA Phase 5, Lahore""}",EXPLICIT_ONLY
AS-00131,71011800000612043,RF9771011800000612043,BOR,BOR-STAMP-DUTY,PY-I016,,Hina Rashid,CNIC ****65-7,ESTAMP-PB-2026-445005,Stamp Duty - Property Instrument - 2026-07,PKR,30800000,0,0,30800000,30800000,0,2026-07-29,2026-08-03,2026-08-29,SETTLED,AGENCY_API,1,"{""instrument_no"": ""INS-2026-445005"", ""property"": ""Plot 55, DHA Phase 5, Lahore""}",EXPLICIT_ONLY
